Job Search Table (last updated: 2026-08-28-1040 Trinidad time),,,,,,,,,,,,,,,,,,,,,,,,,
"Pattern: niche/specific-skill roles with smaller applicant pools outperform generalist-writer high-volume platforms (Mercor) and AI-interview-only screens (micro1 AI Eval, unrelated to micro1 writing roles).",,,,,,,,,,,,,,,,,,,,,,,,,
Learnlight,Online Instructor,$9.25/hr reference rate,High,Confirmed,"ESL Instructor, L&D Trainer","Offer accepted Aug 1; documentation approved & complete Aug 10. DRY RUN TODAY Aug 28, 17:00 CEST / Feedback 18:00 CEST.",,,,,,,,,,,,,,,,,,,
,Job description: https://trainers.learnlight.com/ | Company job postings: https://trainers.learnlight.com/,,,,,,,,,,,,,,,,,,,,,,,,
SME Careers,English Language Expert,$25/hr USD,High,"Confirmed, Qualified","AI Trainer, English Specialist","Contract signed Jul 29, ACTIVE. Onboarding complete. Wise US account linked (ACH free incoming; SWIFT $6.11 to TT). Ready to invoice. All steps completed. You'll be contacted with next steps/assignment.",,,,,,,,,,,,,,,,,,,
,Job description: https://sme.careers/login | Company job postings: https://sme.careers/careers,,,,,,,,,,,,,,,,,,,,,,,,
Remote Leverage,Outsourcing and Offshoring Consulting,-,Medium,-,-,"Already followed/registered, interviewed. Awaiting emails with offers if any. Send follow up email.",,,,,,,,,,,,,,,,,,,
KMD Kevin M. Downey,Remote AI Implementation & Training Specialist (International),-,High,Uncertain,"AI Trainer, Training Lead","Willo video interview submitted Jul 10. Under review ~7 weeks, no reply since July. Doubtful even real.",,,,,,,,,,,,,,,,,,,
Preply,Online Instructor,$16 USD per 50-min lesson (T's set rate),High,"Worldwide, 190+ countries",ESL Instructor,Degree Certificate uploaded manually (Aug 28). Under 2-day review (~Aug 30 approval). Accepted. Registration complete.TESOL certificate accepted. Profile ready. Complete onboarding class/training. Take new photo and video. Profile set to invisible.,,,,,,,,,,,,,,,,,,,
,Job description: https://preply.com/ | Company job postings: https://preply.com/en/teach,,,,,,,,,,,,,,,,,,,,,,,,
Innodata,Data Annotation,20USD/hr,Low,,,"message from Aldrey John Arellano
 Upwork Talent Group to fill out Google Doc. Completed. Awaiting reply",,,,,,,,,,,,,,,,,,,
,https://www.upwork.com/nx/proposals/2090842358559630784,,,,,,,,,,,,,,,,,,,,,,,,
Correlation One,Lead Instructor: GenAI,-,High,Uncertain,"Training Lead, Technical Instructor",Applied,,,,,,,,,,,,,,,,,,,
,Job description: https://my.greenhouse.io/dashboard | Company job postings: https://correlation-one.com/careers,,,,,,,,,,,,,,,,,,,,,,,,
Skyword,Writer,-,High,Free; freelancers from 45+ countries,Content Writer/Editor,"Profile created, writing samples uploaded, no client contact yet. 7 writing samples uploaded",,,,,,,,,,,,,,,,,,,
,Job description: https://create.skyword.com/myProfile.action | Company job postings: https://www.skyword.com/creators/,,,,,,,,,,,,,,,,,,,,,,,,
UTT,PEU Instructors,-,High,Trinidad-based,"Course Instructor, Technical Instructor",Applied,,,,,,,,,,,,,,,,,,,
,Job description: https://utt.edu.tt/?internet_vacancies=1&vacancy_key=229 | Company job postings: https://utt.edu.tt/index.php?internet_vacancies=1,,,,,,,,,,,,,,,,,,,,,,,,
ALT Media Brands,Affiliate Content Writer (Remote - Freelance),-,High,"Remote-first, globally minded per listing",Content Writer/Editor,Message sent,,,,,,,,,,,,,,,,,,,
,Job description: https://altmediabrands.com/careers/job-affiliate-content-writer-remote/ | Company job postings: https://altmediabrands.com/careers/,,,,,,,,,,,,,,,,,,,,,,,,
Himalayas,Writer,-,Medium-High,TT-filtered listing,Content Writer/Editor,"NEW (found Aug 23) - small company (1-10), applied, resume seen, awaiting reply, check eligibility/pay",,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/blackstar-haus/jobs/writer | Company job postings: https://himalayas.app/companies/blackstar-haus/jobs,,,,,,,,,,,,,,,,,,,,,,,,
Himalayas,Content Lead,-,Medium-High,TT-filtered listing,Content Writer/Editor,"NEW (found Aug 23, 2 days old) - senior/lead level, not yet applied",,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/clera/jobs/content-lead | Company job postings: https://himalayas.app/companies/clera/jobs,,,,,,,,,,,,,,,,,,,,,,,,
REMOTE JOB BOARDS,,,,,,,,,,,,,,,,,,,,,,,,,
BambooHR (Origin),Writer (Contractor),-,High,Uncertain,"Content Writer/Editor, Writers and Authors",Awaiting response,,,,,,,,,,,,,,,,,,,
Himalayas (TT + Writing filter),-,-,High,"TT-filtered listings, live and current","Content Writer/Editor, Technical Writer","CHECKED (Aug 23, live) - New finds: Blackstar Haus Writer, Clera Content Lead; Awaiting response",,,,,,,,,,,,,,,,,,,
,https://himalayas.app/jobs/countries/trinidad-and-tobago/writing,,,,,,,,,,,,,,,,,,,,,,,,
MyGreenhouse,Dream Job digest,-,High,Worldwide,Technical Writer,"Picked - done (Technical Author, Canonical). 8+ active apps tracked' Three technical Trinidad/Caribbean jobs at any given time",,,,,,,,,,,,,,,,,,,
,https://my.greenhouse.io/jobs/search?location=Trinidad%20and%20Tobago&lat=10.435364&lon=-61.264793&location_type=country&country_short_name=TT&work_type[]=remote ,,,,,,,,,,,,,,,,,,,,,,,,
Truelancer,,,High,,,Trinidad Writers sectrion. Update profile.,,,,,,,,,,,,,,,,,,,
,https://www.truelancer.com/settings/basicprofile,,,,,,,,,,,,,,,,,,,,,,,,
Sortitt,Content Writer (Freelance),Expected pay: $18/hr USD (lowballed),High,"Worldwide - WARNING: no established reviews, newer platform",Content Writer/Editor,"Applied - confirmed received. Onboarding: 1) values/role-criteria review, 2) TestGorilla assessment (check spam), 3) interview (excl. freelance), 4) offer",,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/sortitt/jobs/content-writer-freelance | Company job postings: https://sortitt.com/careers,,,,,,,,,,,,,,,,,,,,,,,,
Sortitt,"Copywriter (Full-time, Remote)",-,High,Worldwide - same platform warning applies,Content Writer/Editor,Applied - confirmed received. Freelance/gig-based (conflicts with resume-and-apply preference; similar to Oruly/Alignerr pattern),,,,,,,,,,,,,,,,,,,
,Job description: https://sortitt.bamboohr.com/careers/234 | Company job postings: https://sortitt.com/careers,,,,,,,,,,,,,,,,,,,,,,,,
Sortitt,Content Writer (Freelance),,High,,,Applied - confirmed received. Freelance/gig-based (conflicts with resume-and-apply preference; similar to Oruly/Alignerr pattern),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Alignerr ,Pulsar Audio Transcripti & Cleanup Alignment Specialist,$15 - $35/hr,Low,,,"""You qualified"" message received. completed ID verification to continue. Stripe payment blocker.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayas (TT + Content Writer filter),Technical Writer - BANKING EXPERIENCE REQUIRED (TheHiveCareers),-,High,TT-only (confirmed flag),Technical Writer,Applied. Never heard back,,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/jobs/countries/trinidad-and-tobago/full-time-contract-content-writer | Company job postings: https://himalayas.app/companies/thehivecareers/jobs,,,,,,,,,,,,,,,,,,,,,,,,
CARIBBEAN POSITIONS,,,,,,,,,,,,,,,,,,,,,,,,,
SmartJobLinks,-,-,High,"Caribbean-first, verified anti-scam screening","Content Writer/Editor, various","Profile created. 73 TT listings, 29 Content & Writing. Text search works; category/country URL filters buggy",,,,,,,,,,,,,,,,,,,
,Job description: https://smartjoblinks.com/jobs?q=Trinidad+ | Company job postings: https://smartjoblinks.com,,,,,,,,,,,,,,,,,,,,,,,,
WebFX,"Freelance graphic designer, photographer, videographer, copywriter",,High,Trinidad-based,"Content Writer/Editor, various",Application/interest sent via portal June 12th. Awaiting reply.,,,,,,,,,,,,,,,,,,,
,https://webfx.co.tt/career/freelance-digital-content-producers/ ,,,,,,,,,,,,,,,,,,,,,,,,
CaribbeanJobs.com,"Marketing and Corporate Communications Officer (Contract), TECU Credit Union",Not disclosed,High,"Trinidad-based, on-site/hybrid","Content Creation Specialist, Corporate Communications Officer",Live listing (San Fernando),,,,,,,,,,,,,,,,,,,
,Job description: https://www.caribbeanjobs.com/Content-Jobs-in-Trinidad-and-Tobago | Company job postings: https://www.caribbeanjobs.com,,,,,,,,,,,,,,,,,,,,,,,,
CaribbeanJobs.com,"Senior Marketing & Corporate Communications Officer (TECU), via HRC Associates",Not disclosed,High,"Trinidad-based, on-site/hybrid",Corporate Communications Officer,Live listing (San Fernando),,,,,,,,,,,,,,,,,,,
,Job description: https://www.caribbeanjobs.com/Senior-Marketing-Corporate-Communications-Officer-Job-236406.aspx | Company job postings: https://www.caribbeanjobs.com,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gosling Outsourcing,Trainer (Facilitator),specified 25USD/hr (in TTD),High,"Trinidad-based, on-site/hybrid. Port of Spain, Port of Spain, Trinidad and Tobago (On-site). ",,Resume sent.,,,,,,,,,,,,,,,,,,,
,https://billgosling.wd5.myworkdayjobs.com/Global/job/Port-of-Spain-Trinidad/Facilitator--Trainer-_REQ-00030611?source=LinkedIn,,,,,,,,,,,,,,,,,,,,,,,,
Discovertnt,,,,,,Sent inquiry via site form. Submit went straight to new page. No confirmation received. Not even sure if it semt.,,,,,,,,,,,,,,,,,,,
,https://www.discovertnt.com/contact/?,,,,,,,,,,,,,,,,,,,,,,,,
REJECTED / APPLICANT NOT INTERESTED / UNLIKELY,,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
Native Camp,Teacher (ESL),Realistic $2-15/hr per lesson,Low-Medium,Worldwide,ESL Instructor,Registered. Requires English Proficiency Test + demo lesson. ,,,,,,,,,,,,,,,,,,,
Brafton,Creative Production Project Manager - TT,-,Medium,TT-eligible,Project Management,"CURRENT (found active, 4 days old). Check live for new TT-tagged postings. Brafton offers Caribbean-adjacent roles (Barbados, Jamaica) but TT not explicitly opened. Best-fit if you apply + confirm eligibility.",,,,,,,,,,,,,,,,,,,
,Company job postings: https://jobs.lever.co/brafton,,,,,,,,,,,,,,,,,,,,,,,,
Outlier.ai,Various AI Trainer roles,-,Medium,"Uncertain (50-61 countries, TT unconfirmed)",AI Trainer,Not yet applied. Scale AI-backed. $20-60/hr. Must pass skills test,,,,,,,,,,,,,,,,,,,
,Company job postings: https://app.outlier.ai,,,,,,,,,,,,,,,,,,,,,,,,
Enthuziastic,Content Writer - Remote,-,High,"Broad remote hiring, no explicit geo-restriction",Content Writer/Editor,Learning platform based in India. No reply expected in favour of Indian candidates. Applied. Candidate ID ZR_106779_CAND assigned,,,,,,,,,,,,,,,,,,,
,Job description: https://jobs.enthu.com/jobs/Careers/52498000000001010059/Content-Writer---Remote-Job | Company job postings: https://jobs.enthu.com/jobs/Careers,,,,,,,,,,,,,,,,,,,,,,,,
Ingenuity Technologies Limited,Information Technology & Services,-,-,-,-,"IT consulting firm (custom app dev, database design, system testing)
No trainer or technical writer roles found in recent postings
Focus: Software developers, network engineers, business analysts
TT Eligibility: UNCLEAR (Jamaica headquarters; no explicit TT remote policy)",,,,,,,,,,,,,,,,,,,
Meridial,Tutoring Specialist - Freelance AI Trainer,-,High,TT-eligible,AI Trainer,"Applied. Address verification STILL UNRESOLVED - ticket WPS-110566, no ETA",,,,,,,,,,,,,,,,,,,
,Job description: https://my.greenhouse.io/dashboard | Company job postings: https://www.meridial.ai/projects,,,,,,,,,,,,,,,,,,,,,,,,
Meridial,AI Generalist (No Experience Required),-,High,Worldwide,"AI Trainer, AI Content Producer",Dream job selected; accepting applications,,,,,,,,,,,,,,,,,,,
,Job description: https://my.greenhouse.io/dashboard | Company job postings: https://www.meridial.ai/projects,,,,,,,,,,,,,,,,,,,,,,,,
Meridial,English (Caribbean/Belize/Guyana) Language Expert - AI Trainer,-,High,"Worldwide, Caribbean-specific track",AI Trainer,Applied via Invisible Technologies/remote.com. Possible duplicate of existing Meridial app - needs dedup check,,,,,,,,,,,,,,,,,,,
,Job description: https://job-boards.eu.greenhouse.io/agency/jobs/4655015101 | Company job postings: https://www.meridial.ai/projects,,,,,,,,,,,,,,,,,,,,,,,,
Meridial,English Language Data Contributor (Multimodal),$6-$65/hr,High,Worldwide,AI Trainer,Closed,,,,,,,,,,,,,,,,,,,
,Job description: https://my.greenhouse.io/dashboard | Company job postings: https://www.meridial.ai/projects,,,,,,,,,,,,,,,,,,,,,,,,
Turing,Content Writer (English),-,Medium-high,Uncertain,"AI Content Producer, AI Trainer",https://work.turing.com/r/vywWt_mWSR,,,,,,,,,,,,,,,,,,,
Turing,Technical Content Writer,-,High,Uncertain,Technical Writer,https://work.turing.com/r/pxagbFTBmr,,,,,,,,,,,,,,,,,,,
Turing,Content Analyst (English),-,Medium-high,Uncertain,"Content Writer/Editor, AI Trainer",(interest submitted),,,,,,,,,,,,,,,,,,,
Turing,Content Writer (Russian),-,Not suitable,Skip,-,-,,,,,,,,,,,,,,,,,,,
Hire with Near,Technical Writer,-,High,"LATAM-exclusive board, outlier application",Technical Writer,Application acknowledged. T does not want to complete video interviews - no further action. No longer accepting applications,,,,,,,,,,,,,,,,,,,
,Job description: https://hirewithnear.com/ | Company job postings: https://hirewithnear.com/,,,,,,,,,,,,,,,,,,,,,,,,
ElevenLabs,Writer and Editor,"Expected pay: $55,000 USD/year (lowballed)",High,LatAm-eligible per listing; well-funded,"Content Writer/Editor, Corporate Communications Officer","Applied. RemoteUnited KingdomIrelandSpainNew YorkDenmarkPoland
Employment type
Full time. Likely no call back",,,,,,,,,,,,,,,,,,,
,Job description: https://elevenlabs.io/careers | Company job postings: https://elevenlabs.io/careers,,,,,,,,,,,,,,,,,,,,,,,,
Gig Econo International,Technical Writer (Remote),-,Medium-High,Worldwide remote,Technical Writer,Applied. Note: description has unedited template placeholder '[Company X]' - minor red flag/generic posting,,,,,,,,,,,,,,,,,,,
,Job description: https://gigecono.zohorecruit.com/jobs/Careers/776849000000538001/ | Company job postings: https://gigecono.zohorecruit.com/jobs/Careers,,,,,,,,,,,,,,,,,,,,,,,,
Jobgether,-,-,Medium-High,200K+ global listings; 0 live TT roles at last check,-,Applied (freemium repetitive-applicant flow),,,,,,,,,,,,,,,,,,,
,Job description: https://jobgether.com/talent/applications | Company job postings: https://jobgether.com/remote-jobs/trinidad-and-tobago,,,,,,,,,,,,,,,,,,,,,,,,
Job description:,Technical Writer - Camunda (past),"C$108,600-178,600/yr (Canada); $102.3k-164.9k/yr (US)",Medium-High,Worldwide job board,Technical Writer,"T added salary info, resume, updated profile (Aug 2026). Dedicated Trinidad and LATAM tags Paid tier for full job descriptions.",,,,,,,,,,,,,,,,,,,
,"Job description: https://dynamitejobs.com/company/camunda/remote-job/technical-writer-2 | Company job postings: https://dynamitejobs.com | https://dynamitejobs.com/country/remote-jobs-in-trinidad-and-tobago
",,,,,,,,,,,,,,,,,,,,,,,,
North South Consulting Group,Proposal Technical Writer,-,Medium-High,US federal government contractor - likely requires US citizenship/clearance despite not stated,Technical Writer,Applied. Gap: required 5yrs gov-contracting sector experience not held,,,,,,,,,,,,,,,,,,,
,Job description: https://northsouthconsultinggroup.applytojob.com/apply/OKRz8ukdKi/Proposal-Technical-Writer | Company job postings: https://northsouthconsultinggroup.applytojob.com/,,,,,,,,,,,,,,,,,,,,,,,,
Brightstar Lottery,Product Trainer I (Marketing team),-,High,Trinidad-based,"Training Specialist, Corporate Trainer",Applied - cover letter written Aug 16. Rejected.,,,,,,,,,,,,,,,,,,,
,Job description: https://www.linkedin.com/jobs/view/4453288002/ | Company job postings: https://www.brightstarlottery.com/careers,,,,,,,,,,,,,,,,,,,,,,,,
Himalayas / Young & Laramore,Writer (1st posting),-,High,Uncertain,"Content Writer/Editor, Writers and Authors",Rejected,,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/young-laramore/jobs/writer | Company job postings: https://himalayas.app/companies/young-laramore/jobs,,,,,,,,,,,,,,,,,,,,,,,,
Inspira Education,SEO Content Writer,-,High,Uncertain,Content Writer/Editor,Rejected,,,,,,,,,,,,,,,,,,,
Himalayas / Young & Laramore,Writer (2nd posting),-,Medium-High,Uncertain,"Content Writer/Editor, Writers and Authors",Rejected. Pattern: 2 yrs own advertising experience vs required agency experience - flag this gap for similar agency/ad roles,,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/young-laramore/jobs/writer-1452906938 | Company job postings: https://himalayas.app/companies/young-laramore/jobs,,,,,,,,,,,,,,,,,,,,,,,,
,Job description: https://www.talent.micro1.ai/login | Company job postings: https://www.talent.micro1.ai/login,,,,,,,,,,,,,,,,,,,,,,,,
Adcubator,Personal Brand Copywriter,"Expected pay: $45,000 USD/year (lowballed)",Medium,"Fully remote, worldwide-eligible; via Deel",Content Writer/Editor,Not hired/Rejected,,,,,,,,,,,,,,,,,,,
,Job description: https://jobs.deel.com/adcubator | Company job postings: https://jobs.deel.com/adcubator,,,,,,,,,,,,,,,,,,,,,,,,
,Job description: https://developers.turing.com/login | Company job postings: https://developers.turing.com,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Turing,Technical Content Writer,-,N/A,Uncertain,Technical Writer,"Discontinued - Python coding test required, T will NOT continue. IGNORE future emails",,,,,,,,,,,,,,,,,,,
micro1,AI Evaluation Specialist (x2 applications),-,Medium-high,Worldwide,AI Trainer,Both rejected,,,,,,,,,,,,,,,,,,,
micro1,Engineering & Technical Documentation Specialist,-,High,Worldwide,"Technical Writer, Documentation Specialist","Interview completed, awaiting result. Too time consuming, never accepted through AI interviews",,,,,,,,,,,,,,,,,,,
,Job description: https://www.talent.micro1.ai/login | Company job postings: https://www.talent.micro1.ai/login,,,,,,,,,,,,,,,,,,,,,,,,
micro1,Technical Writer,-,High,Worldwide,Technical Writer,NEW (found Aug 23) - not yet applied,,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/micro1/jobs/technical-writer | Company job postings: https://www.talent.micro1.ai/login,,,,,,,,,,,,,,,,,,,,,,,,
micro1,Newsletter Writer & Editor,-,High,Worldwide,Content Writer/Editor,NEW (found Aug 23) - not yet applied. Out of scope,,,,,,,,,,,,,,,,,,,
,Job description: https://himalayas.app/companies/micro1/jobs/newsletter-writer-editor | Company job postings: https://www.talent.micro1.ai/login,,,,,,,,,,,,,,,,,,,,,,,,
Proman,Senior Corporate Communications Officer,-,High,Trinidad-based,Corporate Communications Officer,Listing EXPIRED - do not pursue/resurface,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TT GOVERNMENT JOBS,,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
Public Service Careers Portal,Content Creation Specialist,"TT$13,500/month",High,Trinidad-based,Content Creation Specialist,"Job class description only, NOT a live vacancy",,,,,,,,,,,,,,,,,,,
,Job description: https://publicservicecareers.gov.tt/job-descriptions/content-creation-specialist | Company job postings: https://publicservicecareers.gov.tt/,,,,,,,,,,,,,,,,,,,,,,,,
Public Service Careers Portal,Corporate Communications Officer (+ Senior + Manager),Not disclosed,High,Trinidad-based,Corporate Communications Officer,"Job class descriptions only, NOT live vacancies",,,,,,,,,,,,,,,,,,,
,Job description: https://publicservicecareers.gov.tt/job-descriptions/corporate-communications-officer | Company job postings: https://publicservicecareers.gov.tt/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CARIBBEAN BASED,,,,,,,,,,,,,,,,,,,,,,,,,
Company/Board,Role,Salary,Suitability,Eligibility,Best-Fit Match,Status,,,,,,,,,,,,,,,,,,,
RBC,Banking,-,-,-,-,"Already applied (Senior IT Scrum Master, past)",,,,,,,,,,,,,,,,,,,
Deloitte,Business Consulting and Services,-,-,-,-,Already followed,,,,,,,,,,,,,,,,,,,
Digicel Group,Telecommunications,-,-,-,-,Already followed,,,,,,,,,,,,,,,,,,,
Scotiabank,Banking,-,-,-,-,Already followed,,,,,,,,,,,,,,,,,,,
National Commercial Bank Jamaica Limited,Financial Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
CARICOM: Caribbean Community,International Affairs,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
HireLATAM,Staffing and Recruiting,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
The Jamaica National Group,Financial Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Career Jamaica,Human Resources Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Sagicor Group Jamaica Limited,Financial Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
WorkBetterNow,Staffing and Recruiting,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Red Stripe Corporate,Food and Beverage Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Eve Anderson Recruitment Limited,Human Resources,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Caribbean Airlines Ltd,Airlines and Aviation,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
Caribbean Development Bank,Financial Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
GraceKennedy Ltd.,Consumer Services,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
GovTech Barbados Ltd.,"Technology, Information and Media",-,-,-,-,-,,,,,,,,,,,,,,,,,,,
JobsTT,Human Resources Services,-,-,-,-,Already followed,,,,,,,,,,,,,,,,,,,
TheHiveCareers,Technical & Engineering Specialist,Not disclosed,High,Remote (TT),"Automation, Jenkins, Cloud, AI tools",Applied 2026-09-04. Template experiment.,,,,,,,,,,,,,,,,,,,
TheHiveCareers,Technical & Engineering Specialist,Not disclosed,High,Remote (TT),"Automation, Jenkins, Cloud, AI tools",Applied 2026-09-04. Template experiment.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
